Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
,1.4583333333333333,1.2,,
,1.4,1.6666666666666667,1.5714285714285714,
1.0,1.0769230769230769,1.2727272727272727,1.037037037037037,1.3333333333333333
,1.1111111111111112,1.5757575757575757,1.3272727272727274,1.2
1.6842105263157894,1.0909090909090908,1.1304347826086956,1.2173913043478262,1.4285714285714286
,1.5040650406504066,1.7407407407407407,1.1296296296296295,
,1.0714285714285714,1.25,1.5,1.0
,,1.3636363636363635,1.75,
1.16,1.5,1.4489795918367347,2.0555555555555554,1.0
1.1818181818181819,1.380952380952381,1.4,1.2380952380952381,1.125
,1.2352941176470589,1.5833333333333333,1.5833333333333333,1.8
1.0666666666666667,1.353846153846154,1.4444444444444444,1.3125,1.5714285714285714
1.452054794520548,1.0,1.25,2.2,1.6153846153846154
,1.0357142857142858,,1.2602739726027397,
1.34375,1.0,1.0769230769230769,1.625,1.375
1.75,,1.7142857142857142,1.1487603305785123,
1.625,,,1.6551724137931034,
,2.0,1.3333333333333333,1.411764705882353,2.0
,1.3636363636363635,2.0,1.6666666666666667,
,1.4,1.2830188679245282,1.5757575757575757,
1.5925925925925926,1.3376623376623376,1.1111111111111112,1.4035087719298245,1.3
1.509090909090909,1.435897435897436,2.3125,1.5757575757575757,1.7142857142857142
1.2666666666666666,1.3088235294117647,1.0952380952380953,1.5490196078431373,1.4285714285714286
,2.15625,1.3928571428571428,1.1694915254237288,1.6666666666666667
,,1.4210526315789473,2.0,
,1.3125,1.5384615384615385,1.7857142857142858,1.6666666666666667
1.0,1.7941176470588236,1.7272727272727273,1.4736842105263157,1.0
1.6956521739130435,1.108695652173913,1.3870967741935485,1.4833333333333334,
,1.4444444444444444,1.2857142857142858,1.5,1.2142857142857142
,1.5229357798165137,1.1363636363636365,,1.0
,1.0,1.4736842105263157,1.5769230769230769,1.1428571428571428
1.1095890410958904,1.5,1.55,1.15,1.3333333333333333
,1.15,1.2857142857142858,1.4893617021276595,1.4
,1.7391304347826086,1.5,1.1818181818181819,1.3333333333333333
1.6363636363636365,1.2926829268292683,1.8823529411764706,1.457142857142857,1.3333333333333333
1.0,1.2361111111111112,1.554054054054054,1.5217391304347827,
,1.0188679245283019,1.875,1.4,
1.368421052631579,1.7916666666666667,,1.0833333333333333,1.2727272727272727
,1.1451612903225807,1.09375,1.1,1.2727272727272727
